x-axis,1,2
second,Volt,Volt
-50.00000E-03,+138.52764E-03,+230.76901E-03
-49.95000E-03,+136.51759E-03,+29.76398E-03
-49.90000E-03,+134.50754E-03,-158.67823E-03
-49.85000E-03,+134.50754E-03,+29.76398E-03
-49.80000E-03,+138.27638E-03,+230.76901E-03
-49.75000E-03,+136.51759E-03,+29.76398E-03
-49.70000E-03,+138.27638E-03,+230.76901E-03
-49.65000E-03,+134.50754E-03,+29.76398E-03
-49.60000E-03,+134.50754E-03,+29.76398E-03
-49.55000E-03,+136.26633E-03,+29.76398E-03
-49.50000E-03,+134.50754E-03,+230.76901E-03
-49.45000E-03,+136.26633E-03,+142.82931E-03
-49.40000E-03,+138.52764E-03,+29.76398E-03
-49.35000E-03,+136.51759E-03,+29.76398E-03
-49.30000E-03,+134.50754E-03,+42.32680E-03
-49.25000E-03,+134.50754E-03,+29.76398E-03
-49.20000E-03,+138.52764E-03,+29.76398E-03
-49.15000E-03,+136.51759E-03,+29.76398E-03
-49.10000E-03,+138.27638E-03,+42.32680E-03
-49.05000E-03,+134.50754E-03,+130.26650E-03
-49.00000E-03,+134.50754E-03,+29.76398E-03
-48.95000E-03,+136.51759E-03,+130.26650E-03
-48.90000E-03,+138.52764E-03,+230.76901E-03
-48.85000E-03,+136.51759E-03,+29.76398E-03
-48.80000E-03,+138.52764E-03,+230.76901E-03
-48.75000E-03,+136.26633E-03,+29.76398E-03
-48.70000E-03,+134.50754E-03,+29.76398E-03
-48.65000E-03,+136.51759E-03,+130.26650E-03
-48.60000E-03,+138.52764E-03,+230.76901E-03
-48.55000E-03,+136.51759E-03,+142.82931E-03
-48.50000E-03,+134.50754E-03,+42.32680E-03
-48.45000E-03,+138.52764E-03,+230.76901E-03
-48.40000E-03,+134.50754E-03,+29.76398E-03
-48.35000E-03,+136.26633E-03,+29.76398E-03
-48.30000E-03,+138.27638E-03,+230.76901E-03
-48.25000E-03,+134.50754E-03,+29.76398E-03
-48.20000E-03,+138.52764E-03,+29.76398E-03
-48.15000E-03,+138.52764E-03,+142.82931E-03
-48.10000E-03,+134.50754E-03,-158.67823E-03
-48.05000E-03,+138.52764E-03,+142.82931E-03
-48.00000E-03,+130.48744E-03,+230.76901E-03
-47.95000E-03,+134.50754E-03,+29.76398E-03
-47.90000E-03,+138.52764E-03,+42.32680E-03
-47.85000E-03,+138.52764E-03,+130.26650E-03
-47.80000E-03,+138.52764E-03,+230.76901E-03
-47.75000E-03,+136.51759E-03,+230.76901E-03
-47.70000E-03,+138.27638E-03,+29.76398E-03
